picture.no,hue,sat,bright,SDhue,SDsat,SDbright,ED,PE
3359,1.032033927,0.421437514,0.419625315,1.350105369,0.316165471,0.321454662,0.09054591,7.626260222
3663,1.477682895,0.452743037,0.556550379,0.743459427,0.350970201,0.322915956,0.116160075,6.364499018
3667,1.340874541,0.451595685,0.460933524,0.6494084,0.214174858,0.216583262,0.141285896,7.615093791
3676,2.739751144,0.138477764,0.55157464,1.748345455,0.10025898,0.218929043,0.1305503,7.060559669
3677,2.010176238,0.52022653,0.515017326,1.443578675,0.257489275,0.30188381,0.096884231,5.165751862
3678,-2.377133647,0.15744003,0.644978748,1.288952097,0.103162931,0.250858955,0.09781276,7.197706617
3679,0.968131663,0.414872019,0.57828327,0.763179195,0.233601989,0.211359991,0.117228053,7.098149057
3685,0.742067769,0.209580135,0.4830833,0.880115948,0.075413961,0.112395647,0.156475168,6.792690104
3698,0.669205864,0.270117147,0.466288324,0.95045446,0.127191637,0.216616378,0.121109007,7.333152976
3722,1.02693741,0.30173975,0.62271117,1.088339846,0.210589904,0.232330348,0.109171348,7.716867854
3734,0.929344949,0.270978028,0.620958972,1.116990749,0.267762412,0.288158373,0.121142426,6.661616377
3744,0.35077319,0.349369144,0.544678639,1.980235645,0.286367036,0.29340333,0.115376555,7.001686028
3756,1.193274406,0.438042412,0.486205113,0.943986489,0.200228141,0.273163299,0.148217354,7.627003399
3764,-0.838916612,0.283674849,0.528245623,2.142992069,0.202502065,0.316061251,0.087242188,7.830969086
3807,1.142374786,0.225528051,0.545494813,1.035487648,0.17249397,0.227458478,0.152786183,7.558223172
3814,0.677014241,0.564499593,0.411866101,0.857358474,0.337165378,0.361443734,0.072981982,7.081935959
3822,0.626130508,0.231941039,0.623939429,1.218929392,0.179833591,0.277206112,0.129328824,7.090202307
3824,-0.098017969,0.16981005,0.595094524,1.302904553,0.160729934,0.299787599,0.124372222,6.260217031
3834,1.957125358,0.330395887,0.360997065,1.4969886,0.2387519,0.261231215,0.143296875,7.572257062
3837,2.0697972,0.163349843,0.430489555,1.832205112,0.193151706,0.329222302,0.075739583,7.578700838
3891,-2.679467541,0.141237035,0.612660725,0.101438321,0.132189041,0.089204614,0.129470313,6.131936232
3910,2.900947713,0.099359649,0.57878655,1.099102551,0.092820892,0.217129082,0.11915625,7.647013851
3920,-0.439641451,0.142151714,0.530546612,1.034121037,0.126143012,0.19937614,0.093900482,7.411453803
4004,2.587578082,0.405572462,0.370100081,0.949219777,0.222693898,0.205096021,0.138336069,7.234686313
4008,-2.179422401,0.3332484,0.620057407,1.169362545,0.273098026,0.248446878,0.080843583,7.203298188
4016,-0.155066173,0.190293673,0.641178974,1.124077846,0.139160161,0.285264328,0.118590529,7.027718825
4123,0.185014746,0.062581801,0.599305957,1.492399392,0.034088063,0.118164683,0.048069959,6.448913021
4130,0.618632772,0.403974905,0.730804994,1.220876855,0.186827044,0.300872659,0.030074447,6.109208823
4144,-0.135400849,0.310601304,0.553670652,1.684937271,0.22620449,0.117457665,0.116028831,7.083081302
4153,0.527432089,0.364365061,0.681450549,2.431572196,0.100505783,0.212284135,0.105681335,6.969090045
4158,-2.982714568,0.341524298,0.589406886,2.10190248,0.192023507,0.171270732,0.110812198,7.435211044
4162,-1.017686286,0.254843319,0.648926196,1.975062584,0.15030145,0.142072894,0.132141564,6.935492249
4173,-1.447509179,0.345859162,0.472266035,1.692899066,0.228422452,0.152879621,0.095253969,6.963991571
4175,0.092293738,0.394713372,0.65428165,1.439445594,0.134248092,0.149807483,0.10579375,7.055386775
4178,1.969610079,0.186484617,0.720860404,1.440847699,0.14562344,0.256759026,0.099857169,6.684963916
4219,-3.123093834,0.274286316,0.569489773,1.530501701,0.229420955,0.293979276,0.104534115,7.914971526
4322,1.832652848,0.329168662,0.582388521,1.400883377,0.191266898,0.175174419,0.10555625,7.303096486
4323,0.627205938,0.356124684,0.630368012,1.403386065,0.150896847,0.259816497,0.108064016,7.279111852
4366,2.956511458,0.202974825,0.544973545,0.903717999,0.140116957,0.242457386,0.093271891,7.321116226
