"","picture.ID","naturalness","fascination","coherence","scope","being_away"
"1",5,3.14285714285714,5.375,5.66666666666667,4.6,4.66666666666667
"2",12,5.08333333333333,4.41666666666667,4.66666666666667,5.25,5
"3",14,3.38461538461538,4.30769230769231,4.92307692307692,4.33333333333333,4.75
"4",15,3.38461538461538,6,5,4.92307692307692,5.61538461538461
"5",27,3.57142857142857,4.25,4.66666666666667,4.2,4.88888888888889
"6",28,2.07692307692308,2.15384615384615,4.46153846153846,4.6,2
"7",40,2.61538461538462,3.69230769230769,5.30769230769231,3.84615384615385,2.23076923076923
"8",43,5.25,4.16666666666667,4.33333333333333,5.09090909090909,5.08333333333333
"9",114,2.84615384615385,2.92307692307692,3.84615384615385,4.53846153846154,2.46153846153846
"10",129,2.76923076923077,4.30769230769231,5.69230769230769,5.69230769230769,3
"11",138,3,4.46153846153846,6,5.38461538461539,3.46153846153846
"12",221,2.71428571428571,4.625,4.33333333333333,3.4,3.66666666666667
"13",225,5.53846153846154,6.15384615384615,5.53846153846154,4.30769230769231,5
"14",232,3.83333333333333,4.66666666666667,5,4.58333333333333,4.66666666666667
"15",233,2.38461538461538,3.46153846153846,5.07692307692308,3.6,3.5
"16",239,3.83333333333333,5.66666666666667,5.58333333333333,4.5,5.08333333333333
"17",240,3.66666666666667,4.25,5.41666666666667,4.66666666666667,4.5
"18",317,2.23076923076923,5.07692307692308,4.91666666666667,6.23076923076923,2.84615384615385
"19",320,2,3.15384615384615,5,2.84615384615385,2.23076923076923
"20",349,3.91666666666667,5.25,5.25,4.16666666666667,4.75
"21",384,2.53846153846154,4.69230769230769,5.84615384615385,2.53846153846154,3.15384615384615
"22",396,2.25,5,5.41666666666667,3.58333333333333,3.58333333333333
"23",411,3.57142857142857,5,4.66666666666667,4.2,5.55555555555556
"24",412,2.61538461538462,4.07692307692308,5.53846153846154,4.26666666666667,3.25
"25",419,3.69230769230769,5.15384615384615,4.84615384615385,5.61538461538461,4.69230769230769
"26",684,4.71428571428571,4.5,3.66666666666667,4.7,4.33333333333333
"27",689,3.76923076923077,4.07692307692308,5.07692307692308,4.42857142857143,3.91666666666667
"28",693,4,3.53846153846154,5.15384615384615,3.53846153846154,3.61538461538462
"29",694,2.83333333333333,4.33333333333333,5.91666666666667,4.25,3.83333333333333
"30",695,4.16666666666667,3.41666666666667,4.58333333333333,5.41666666666667,4
"31",698,4.08333333333333,3.91666666666667,4.16666666666667,3.75,3.16666666666667
"32",891,5,3.625,3.66666666666667,5.3,3.88888888888889
"33",895,6.30769230769231,4.53846153846154,3.76923076923077,6.4,5.08333333333333
"34",940,5.53846153846154,4.15384615384615,5.07692307692308,4.69230769230769,4.92307692307692
"35",1023,3.15384615384615,4.46153846153846,5.15384615384615,3.76923076923077,3.61538461538462
"36",1255,4.53846153846154,4.38461538461539,5.53846153846154,5.92307692307692,4
"37",1256,4.41666666666667,5.58333333333333,5.08333333333333,4.25,4.58333333333333
"38",1295,3.85714285714286,4.125,4.33333333333333,4.4,4.88888888888889
"39",1296,2.30769230769231,3.69230769230769,6.30769230769231,3,3.58333333333333
"40",1339,3.66666666666667,4.83333333333333,5.58333333333333,4.08333333333333,3.33333333333333
"41",1368,2.69230769230769,3.69230769230769,6,3.46153846153846,2.92307692307692
"42",1369,2.75,4.16666666666667,6.25,3.5,4.25
"43",1372,3.25,3.66666666666667,3.91666666666667,3.58333333333333,3
"44",1373,4,3.92307692307692,5.30769230769231,5,3.84615384615385
"45",1461,5.28571428571429,4.25,4.16666666666667,4.8,5.625
